************* learning 1*************
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 25}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 24}, 19, 1, 0
************* learning 4*************
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 11}, 3, 17, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 6}, 13, 7, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 3}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 9}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 10}, 0, 20, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 5}, 7, 13, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 2}, 9, 11, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 4}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 8}, 0, 20, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 14}, 7, 13, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 31}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 12}, 10, 10, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 13}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 21}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 18}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 34}, 16, 4, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 15}, 19, 1, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 19}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 7, 'targetPosition': 27}, 0, 20, 0
