{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 10}, 2, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 12}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 14, 'targetPosition': 13}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 10}, 5, 3, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 15, 'targetPosition': 14}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 8}, 7, 13, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 9}, 4, 16, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 10}, 5, 15, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 11}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 12}, 10, 10, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 13}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 16, 'targetPosition': 14}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 8}, 6, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 9}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 10}, 7, 13, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 11}, 6, 14, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 12}, 14, 6, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 17, 'targetPosition': 13}, 9, 11, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 8}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 9}, 11, 9, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 13}, 9, 11, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 18, 'targetPosition': 14}, 10, 10, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 8}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 10}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 12}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 1, 'agent2Position': 19, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 5}, 7, 12, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 7}, 15, 5, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 8}, 18, 2, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 9}, 8, 12, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 3, 'targetPosition': 14}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 4, 'targetPosition': 5}, 17, 3, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 4, 'targetPosition': 7}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 4, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 4, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 4, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 4, 'targetPosition': 13}, 13, 7, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 5, 'targetPosition': 7}, 15, 5, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 5, 'targetPosition': 8}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 5, 'targetPosition': 9}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 5, 'targetPosition': 11}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 5, 'targetPosition': 13}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 5, 'targetPosition': 14}, 20, 0, 0
{'spyPosition': 0, 'agent1Position': 2, 'agent2Position': 6, 'targetPosition': 5}, 11, 9, 0
